iron tawa/pan/nail | is | left
______________ 7.3 | names in | languages
______________ 7.3 | names in | as many languages
they | are talking about | organism
people | speaking in | languages
it | would | would difficult for people speaking in languages
it | would | would difficult for people
they | are talking about | same organism
it | would | would difficult for people speaking in different languages
it | would | would difficult for people speaking
you | might | might able
it | would | would difficult
people | speaking in | different languages
chemical symbols | are | used over
chemical symbols | used over | formulae
scientific name | is in | same manner
chemical symbols | used | formulae
chemical symbols | are used over | world
chemical symbols | are | used
chemical symbols | are used | world
scientific name | is | unique
name | is | thus unique
name | is | unique
scientific name | be | used
name | be | used
scientific name | is | thus unique
we | use at_time | today
scientific name | is result of | process
scientific name | is | result
name | is | result
it | is | most related
it | is | related
name | is result of | process
we | name | species
we | actually name | species
we | limit | ourselves
we | Instead limit | ourselves
we | writing | name of genus
we | writing | name
it | has | World has agreed
it | has | World over has agreed
it | has | has agreed
Certain conventions | writing | names
Certain conventions | are | followed
conventions | are | followed
conventions | writing | names
Certain conventions | writing | scientific names
conventions | writing | scientific names
name | begins with | capital letter
name | begins with | letter
name | begins with | small letter
scientific name | is given in | italics
scientific name | is | given
name | is | given
name | is given in | italics
genus name | written | species name
genus name | underlined | species name
genus name | underlined separately | species name
genus name | have | species name
genus name | written by | hand
genus name | have | underlined
genus name | be | underlined separately
genus name | have | underlined separately
genus name | be | underlined
you | identify | them
anything | is in | common with names
living organisms | are divided on | bases
living organisms | are | divided on above bases namely Monera
living organisms | are divided on | bases into five kingdoms
living organisms | are | divided on bases into five kingdoms namely Monera
living organisms | are | divided on above bases into five kingdoms Monera
living organisms | are | divided Monera
living organisms | are | divided on bases into five kingdoms Monera
living organisms | are divided on | above bases
living organisms | are | divided on bases namely Monera
living organisms | are divided on | above bases into five kingdoms
living organisms | are | divided
living organisms | are | divided on above bases Monera
living organisms | are | divided on above bases into five kingdoms namely Monera
living organisms | are | divided namely Monera
living organisms | are | divided on bases Monera
classification | is | related
classification | is related to | their evolution
SCIENCE • • • • • Plantae | are | divided
SCIENCE • • • • • Plantae | further divided | Animalia
SCIENCE • • • • • Plantae | are | further divided into subdivisions on basis of increasing complexity of body organisation
SCIENCE • • • • • Plantae | are | divided into subdivisions on basis of increasing complexity of body organisation
SCIENCE • • • • • Plantae | are divided on | basis
SCIENCE • • • • • Plantae | are | divided into subdivisions on basis of complexity of body organisation
SCIENCE • • • • • Plantae | are further divided on | basis
SCIENCE • • • • • Plantae | are further divided on | basis of complexity
SCIENCE • • • • • Plantae | are divided on | basis of increasing complexity
SCIENCE • • • • • Plantae | are | divided into subdivisions on basis
SCIENCE • • • • • Plantae | are divided on | basis of complexity of body organisation
SCIENCE • • • • • Plantae | are | further divided
SCIENCE • • • • • Plantae | are | divided into subdivisions on basis of increasing complexity
SCIENCE • • • • • Plantae | are | further divided into subdivisions on basis of increasing complexity
SCIENCE • • • • • Plantae | are further divided on | basis of increasing complexity of body organisation
SCIENCE • • • • • Plantae | are further divided on | basis of complexity of body organisation
SCIENCE • • • • • Plantae | are divided on | basis of increasing complexity of body organisation
SCIENCE • • • • • Plantae | are | further divided into subdivisions on basis of complexity of body organisation
SCIENCE • • • • • Plantae | are divided into | subdivisions
SCIENCE • • • • • Plantae | are | further divided into subdivisions on basis
SCIENCE • • • • • Plantae | are divided on | basis of complexity
SCIENCE • • • • • Plantae | are | divided into subdivisions on basis of complexity
SCIENCE • • • • • Plantae | are further divided into | subdivisions
SCIENCE • • • • • Plantae | divided | Animalia
SCIENCE • • • • • Plantae | are further divided on | basis of increasing complexity
SCIENCE • • • • • Plantae | are | further divided into subdivisions on basis of complexity
Plants | are divided into | five groups
Plants | are | divided
Animals | are | divided
Animals | are divided into | ten groups
nomenclature | makes for | uniform way of identification of vast diversity of life around us
nomenclature | makes for | way of identification around us
nomenclature | makes for | uniform way
binomial nomenclature | makes for | way of identification of diversity
nomenclature | makes for | way of identification of vast diversity of life around us
nomenclature | makes for | way of identification
binomial nomenclature | makes for | way of identification
binomial nomenclature | makes for | uniform way of identification of vast diversity around us
nomenclature | makes for | way of identification of vast diversity
nomenclature | makes for | way of identification of vast diversity of life
nomenclature | makes for | way around us
nomenclature | makes for | way of identification of diversity of life
binomial nomenclature | makes for | way around us
nomenclature | makes for | uniform way of identification of diversity of life
nomenclature | makes for | uniform way of identification of vast diversity of life
binomial nomenclature | makes for | way of identification of vast diversity of life
binomial nomenclature | makes for | way of identification of diversity of life around us
nomenclature | makes for | uniform way of identification of diversity
binomial nomenclature | makes for | uniform way around us
binomial nomenclature | makes for | uniform way of identification of diversity around us
binomial nomenclature | makes for | way of identification of vast diversity of life around us
nomenclature | makes for | uniform way of identification of vast diversity around us
nomenclature | makes for | way of identification of diversity of life around us
nomenclature | makes for | way
binomial nomenclature | makes for | uniform way of identification of vast diversity of life around us
binomial nomenclature | makes for | uniform way of identification of diversity of life around us
nomenclature | makes for | uniform way of identification of diversity around us
binomial nomenclature | makes for | uniform way of identification around us
nomenclature | makes for | uniform way around us
binomial nomenclature | makes for | way
nomenclature | makes for | uniform way of identification around us
nomenclature | makes for | uniform way of identification of vast diversity
binomial nomenclature | makes for | uniform way of identification of vast diversity
binomial nomenclature | makes for | uniform way of identification
binomial nomenclature | makes for | way of identification of diversity around us
binomial nomenclature | makes for | uniform way of identification of diversity
nomenclature | makes for | way of identification of vast diversity around us
binomial nomenclature | makes for | way of identification of diversity of life
nomenclature | makes for | way of identification of diversity
binomial nomenclature | makes for | way of identification of vast diversity
nomenclature | makes for | uniform way of identification
binomial nomenclature | makes for | way of identification around us
binomial nomenclature | makes for | uniform way
binomial nomenclature | makes for | uniform way of identification of vast diversity of life
binomial nomenclature | makes for | uniform way of identification of diversity of life
nomenclature | makes for | uniform way of identification of diversity of life around us
binomial nomenclature | makes for | way of identification of vast diversity around us
nomenclature | makes for | way of identification of diversity around us
D IVERSITY | is IN | L IVING O RGANISMS
you | would choose between | two characteristics
hierarchy | is in | classification
major divisions | is in | Plantae
criteria | deciding | divisions in plants different from criteria
criteria | deciding | divisions
divisions | is in | plants different from criteria deciding
criteria | deciding | divisions in plants different
criteria | deciding | divisions in plants
animals | are classified into | subgroups
animals | are classified into | further subgroups
animals | are | how classified into further subgroups
animals | are | classified
animals | are | how classified into subgroups
animals | is in | Vertebrata
animals | are | how classified
97 C hapter | is In | everyday life
we | see | objects in motion
we | see | objects
we | see | objects at rest in motion
objects | is in | motion
we | see | objects at rest
blood | flows through | veins
Atoms | all | planets
Atoms | all | stars
Atoms | all | galaxies
Atoms | are all in | motion
Atoms | are | all
Atoms | all | molecules
its position | changes with | time
its position changes | is with | time
motion | is | where inferred through evidences
motion | is inferred through | indirect evidences
motion | is | where inferred
motion | is | where inferred through indirect evidences
motion | is | inferred
motion | is inferred through | evidences
we | infer | motion of air
we | infer For | example
we | infer motion For | example
we | infer | motion
we | observing | movement of dust
we | observing | movement
it | due to | motion
it | due to | motion of earth
it | is | true
object | moving for | one person
object | may appear | be moving
object | may appear | be moving for one person
roadside trees | appear | be moving
roadside trees | appear For | passengers in bus
roadside trees | appear For | passengers in moving bus
passengers | is in | moving bus
roadside trees | appear For | passengers
roadside trees | appear | be moving backwards
bus | alongwith | passengers moving
side | perceives | bus
bus | alongwith | passengers
passenger | sees | his fellow passengers
his fellow passengers | be at | rest
passenger | However sees | his fellow passengers
his passengers | be at | rest
passenger | However sees | his passengers
passenger | sees | his passengers
Most motions | are | complex
motions | are | complex
others | may take | circular path
others | may take | path
objects | may move in | line
objects | may move in | straight line
may situations | involving | combination
There may situations | involving | combination of these
There may situations | involving | combination
involving | combination of | these
may situations | involving | combination of these
we | describe | motion
we | describe | motion of objects along line
we | describe | motion of objects
we | describe | motion of objects along straight line
We | express | motions
We | express motions through | equations
We | express | such motions
We | express motions through | simple equations
ways | describing | circular motion
ways | describing | motion
we | Later shall discuss | ways
we | shall discuss | ways
walls | are at | rest
it | is at | rest
We | Act sometimes are endangered by | motion of objects around us
We | Act are endangered by | motion of objects
We | are endangered | Act
We | Act sometimes are endangered by | motion of objects
We | Act are endangered by | motion of objects around us
We | sometimes are endangered | Act
We | Act are endangered by | motion
We | Act sometimes are endangered by | motion
motion | can | On other hand can service
motion | can | can service
controlled motion | can | On hand can service to beings
controlled motion | can | On other hand can service to human beings
motion | can | On other hand can service to beings
motion | can | can service to beings
motion | can | On hand can service to beings
motion | can | On other hand can service to human beings
controlled motion | can | can service to human beings
motion | can | On hand can service to human beings
controlled motion | can | On hand can service to human beings
motion | can | On hand can service
controlled motion | can | can service to beings
controlled motion | can | On other hand can service to beings
controlled motion | can | On other hand can service
controlled motion | can | On hand can service
controlled motion | can | can service
motion | can | can service to human beings
you | Do feel | necessity
We | location of | object
We | specifying | reference point
We | describe | location
We | describe | location of object
us | understand | this
school | is | 2 km north
school | is in | village
school | is | 2 km north of railway station
We | have specified | position
We | have specified | position of school
reference point | is In | example
railway station | is | reference point
we | specify | reference point
we | specify | reference point called
We | describe | this
object | starts | its journey
its | point | Fig. 8.1
A | position at | different instants
A | represent | position of object
A | represent | position at instants
A | represent | position
A | represent | position of object at different instants
A | represent | B
A | represent | position at different instants
A | represent | C
A | represent | position of object at instants
A | position | C
A | position of | object
A | position | B
A | position at | instants
object | moves At | first
object | moves through | C
it | reaches | C
magnitude | = | 35 km
it | moves back along | path
it | moves along | same path
it | moves along | path
35 km | magnitude of | displacement
it | moves back along | same path
it | reaches C through | B.
we | consider | object
we | consider | travel back to O
concides | is with | initial position
we | consider | travel
object | travel to | O
object | travel back to | O
we | consider | travel back
we | consider | travel to O
This | is | distance covered by object
This | is | distance covered
This | is | distance
value | is | its magnitude
numerical value | is | its magnitude
initial | is known as | displacement
initial | is | known
magnitude | Can | Can equal
magnitude | Can | Can equal to distance travelled by object
magnitude | Can | Can equal to distance travelled
magnitude | Can | Can equal to distance
distance | magnitude of | displacement
motion | locate | its position
overall motion | locate | its final position with reference to its position at given time
overall motion | locate | its final position with reference to its initial position at given time
motion | locate | its position with reference to its position
motion | locate | its position with reference to its initial position at time
overall motion | locate | its final position
overall motion | locate | its position with reference
motion | locate | its final position with reference to its position
motion | locate | its position with reference to its initial position
motion | locate | its position with reference to its position at time
overall motion | locate | its final position with reference to its position
motion | locate | its position with reference
motion | locate | its final position with reference to its initial position
overall motion | locate | its final position with reference to its initial position
motion | locate | its final position with reference
overall motion | locate | its final position with reference
motion | locate | its final position with reference to its position at time
overall motion | locate | its position with reference to its position at time
overall motion | locate | its position with reference to its initial position at given time
overall motion | locate | its final position with reference to its position at time
motion | locate | its final position with reference to its initial position at time
motion | locate | its final position with reference to its position at given time
overall motion | locate | its position with reference to its initial position
overall motion | locate | its final position with reference to its initial position at time
motion | locate | its final position with reference to its initial position at given time
overall motion | locate | its position with reference to its position at given time
its final position | is with | reference to its initial position at given time
motion | locate | its position with reference to its position at given time
motion | locate | its final position
overall motion | locate | its position with reference to its position
overall motion | locate | its position
motion | locate | its position with reference to its initial position at given time
overall motion | locate | its position with reference to its initial position at time
Activity ______________ • • Automobiles | are | fitted
Activity ______________ 8.4 • • Automobiles | are | fitted
car | is driven from | Bhubaneshwar to New Delhi
car | is | driven
car | is driven from | Bhubaneshwar
difference | is | 1850 km
object | has moved through | distance
it | Can have | zero displacement
farmer | moves along | boundary
farmer | moves along | boundary of square field
farmer | moves along | boundary of field of side
farmer | moves along | boundary of field
10 m | is in | 40 s
farmer | moves along | boundary of square field of side
Its magnitude | is greater than | distance travelled by object
distance | travelled by | object
Its magnitude | is | greater
Its magnitude | is greater than | distance
Its magnitude | is greater than | distance travelled
10:15 | am | Distance travelled in m Distance travelled by object B
10:15 | am | Distance travelled in m Distance travelled by object B in m
10:15 | am | Distance travelled in m Distance travelled in m
10:15 | am | Distance travelled in m Distance travelled
10:15 | am | Distance travelled
10:15 | am | Distance travelled by object A in m Distance
10:15 | am | Distance travelled by object A in m Distance travelled
10:15 | am | Distance travelled by object A
10:15 | am | Distance travelled by object A in m Distance travelled by object B
10:15 | am | Distance travelled by object A in m Distance travelled by object B in m
10:15 | am | Distance travelled in m Distance
10:15 | am | Distance travelled by object A in m Distance travelled in m
5 m | is in | fourth second
it | travel | 5 m
5 m more | m in | fourth second
5 m | is in | third second
5 m more | m in | third second
object | covers | equal distances
it | is | said
equal distances | is in | equal intervals of time
object | distances in | equal intervals of time
object | distances in | equal intervals
object | covers | distances in equal intervals of time
object | covers | distances in equal intervals
object | covers | equal distances in equal intervals
object | equal distances in | intervals of time
object | distances in | intervals of time
object | equal distances in | equal intervals of time
object | distances in | intervals
object | covers | equal distances in intervals
object | covers | distances in intervals
object | covers | equal distances in equal intervals of time
object | covers | distances
it | is said | uniform motion
it | be in | motion
object | equal distances in | equal intervals
object | covers | distances in intervals of time
object | equal distances in | intervals
object | covers | equal distances in intervals of time
it | be in | uniform motion
it | is said | motion
time | should | should small
interval | is in | motion
time interval | should | should small
objects | cover distances in | equal intervals of time
objects | cover distances in | intervals
objects | cover | distances
jogging | is in | park
we | come In | our day-to-day life
car | is moving on | street
objects | cover distances in | intervals of time
objects | cover | unequal distances
objects | cover distances in | equal intervals
car | is moving on | crowded street
we | come In | our life
car is moving | is | jogging
car is moving | is jogging in | park
These | are | instances
These | are instances of | motion
These | are instances of | non-uniform motion
motion | is | uniform
SCIENCE | Look at | situations given
SCIENCE | Look at | situations given in Fig. 8.2
SCIENCE | Look at | situations
8.2 SCIENCE | Look at | situations given
8.2 SCIENCE | Look at | situations given in Fig. 8.2
8.2 SCIENCE | Look at | situations
bowling speed | is | 143 km h
signboard | is in | Fig. 8.2
objects | may take | amounts of time
objects | cover | distance
objects | may take | amounts
Different objects | may take | amounts
objects | may take | different amounts
objects | may take | different amounts of time
objects | cover | given distance
Different objects | may take | different amounts of time
Different objects | may take | amounts of time
Different objects | cover | given distance
Different objects | cover | distance
Different objects | may take | different amounts
different objects | can move at | rate
objects | Also can move at | same rate
different objects | can move at | same rate
different objects | Also can move at | same rate
objects | can move at | rate
objects | Also can move at | rate
objects | can move at | same rate
different objects | Also can move at | rate
SI unit | is metre per | second
SI unit | is | metre
This | is represented by | symbol m s
This | is | represented
other units | include | centimetre
units | include | centimetre per cm s
other units | include | centimetre per second cm s
units | include | centimetre
units | include | centimetre per second cm s
other units | include | centimetre per cm s
we | specify | speed
we | require | its magnitude
we | require | only its magnitude
we | specify | speed of object
objects | will in | In cases will non-uniform motion
objects | will in | In most cases will motion
will non-uniform motion | is In | most cases
objects | will in | In most cases will non-uniform motion
objects | will in | In cases will motion
we | describe | rate of motion of objects in terms
we | Therefore describe | rate of motion of such objects in terms of their speed
we | Therefore describe | rate of motion of such objects
such objects | is in | terms of their average speed
we | Therefore describe | rate of motion of such objects in terms of their average speed
we | Therefore describe | rate of motion of objects in terms
we | describe | rate of motion of such objects in terms of their average speed
we | describe | rate of motion of such objects
we | describe | rate of motion of such objects in terms
we | describe | rate of motion
we | describe | rate of motion of objects
we | Therefore describe | rate of motion of such objects in terms
we | describe | rate of motion of objects in terms of their average speed
we | Therefore describe | rate of motion of objects
we | Therefore describe | rate of motion of objects in terms of their speed
we | Therefore describe | rate of motion of objects in terms of their average speed
we | describe | rate of motion of such objects in terms of their speed
we | describe | rate
we | Therefore describe | rate
we | describe | rate of motion of objects in terms of their speed
we | Therefore describe | rate of motion
speed | dividing | distance travelled by total time taken
average speed | dividing | distance travelled
speed | is | obtained
average speed | dividing | total distance travelled by total time
average speed | dividing | distance travelled by time
speed | dividing | total distance travelled by time
average speed | dividing | total distance travelled by time taken
speed | dividing | distance travelled by time
average speed | dividing | distance travelled by total time
average speed | dividing | distance travelled by time taken
average speed | dividing | total distance
average speed | dividing | distance
average speed | dividing | distance travelled by total time taken
average speed | is | obtained
average speed | dividing | total distance travelled by total time taken
average speed | dividing | total distance travelled by time
speed | dividing | distance
average speed | dividing | total distance travelled
speed | dividing | total distance travelled
speed | dividing | total distance
speed | dividing | total distance travelled by total time taken
speed | dividing | total distance travelled by time taken
speed | dividing | distance travelled by time taken
speed | dividing | distance travelled
speed | dividing | total distance travelled by total time
speed | dividing | distance travelled by total time
v | is | v = s t
object | travels distance s in | time t
us | understand | this
object | travels | distance s
v | is | v s t
car | travels | distance of 100 km
Its speed | is | 50 km h 1
car | travels | distance
50 km h 1 | is in | 2 h.
Its average speed | is | 50 km h 1
Its speed | is | in 2 h. 50 km h 1
Its average speed | is | in 2 h. 50 km h 1
8.1 object | travels | 16 m
object | travels | 16 m
16 m | is in | 2 s
distance | travelled by | object
Total distance | = | 16 m +
Total distance | travelled by | object
distance | = | 16 m
distance | = | 16 m +
Total distance | = | 16 m
rate | can | can more comprehensive
8.2.1 SPEED | is WITH | DIRECTION
we | specify | its direction
we | specify | its direction of motion
rate | can | can comprehensive
Velocity | is | speed
Velocity | is speed of | object moving in direction
Velocity | is speed of | object moving in definite direction
Velocity | is speed of | object
Velocity | is speed of | object moving
velocity | can | can uniform
It | changing | object 's speed
object | has | speed
object | is moving along | straight line
we | can express | magnitude of its rate
we | can express magnitude in | terms of velocity
object | is moving along | straight line at variable speed
object | is moving along | line at variable speed
we | can express | magnitude of its rate of motion
we | can express magnitude in | terms
we | can express magnitude in | terms of average velocity
we | can express | magnitude
object | is moving along | straight line at speed
object | is moving along | line at speed
object | is moving along | line
we | calculate | speed
It | is calculated in | way
It | is | calculated
we | calculate | average speed
It | is calculated in | same way
velocity | is given by | arithmetic mean of velocity for given period
velocity | is given by | arithmetic mean for given period
velocity | is given by | arithmetic mean of initial velocity for period of time
average velocity | is given by | arithmetic mean of velocity for given period of time
average velocity | is given by | arithmetic mean of initial velocity for period
average velocity | is given by | arithmetic mean for given period of time
velocity | is given by | arithmetic mean of initial velocity for given period
velocity | is given by | arithmetic mean
average velocity | is given by | arithmetic mean of velocity
velocity | is given by | arithmetic mean for given period of time
velocity | is changing In | case
average velocity | is given by | arithmetic mean for period
average velocity | is given by | arithmetic mean of velocity for given period
average velocity | is given by | arithmetic mean of initial velocity for given period
average velocity | is given by | arithmetic mean of initial velocity for period of time
velocity | is given by | arithmetic mean of velocity for given period of time
average velocity | is given by | arithmetic mean of initial velocity
average velocity | is given by | arithmetic mean of velocity for period of time
average velocity | is given by | arithmetic mean of initial velocity for given period of time
velocity | is | given
velocity | is given by | arithmetic mean of initial velocity for given period of time
average velocity | is | given
velocity | is given by | arithmetic mean of velocity for period of time
average velocity | is given by | arithmetic mean for given period
velocity | is given by | arithmetic mean of velocity for period
velocity | is given by | arithmetic mean for period
velocity | is given by | arithmetic mean for period of time
average velocity | is given by | arithmetic mean of velocity for period
average velocity | is given by | arithmetic mean
velocity | is given by | arithmetic mean of initial velocity
average velocity | is given by | arithmetic mean for period of time
velocity | is given by | arithmetic mean of velocity
velocity | is given by | arithmetic mean of initial velocity for period
Speed | have | velocity
Speed | have | same units
Speed | have | units
you | walk to | your bus stop
it | takes | you
you | walk from | your house
your average walking speed | estimate distance from | your house
your average speed | is | 4 km h
your average walking speed | estimate | distance of bus stop
your average walking speed | estimate | distance
your average speed | estimate | distance
your average speed | estimate distance from | your house
your average walking speed | is | 4 km h
your average speed | estimate | distance of bus stop
sound | takes | time
you | see | lightning
sound | reach | you
interval | using | wrist watch
interval | using | digital wrist watch
does | odometer of | automobile measure
signal | reached ground station in | five minutes
signal | reached ground station During | experiment
signal | reached | ground station
signal | travels at | speed of light
signal | travels at | speed
average speed | is in | km h
trip | took | 8 h
Distance | covered by | car
Example Usha | swims in | 90 m pool
Example 8.3 Usha | swims in | long pool
Example Usha | swims in | long pool
Example 8.3 Usha | swims in | 90 m long pool
Example 8.3 Usha | swims in | 90 m pool
Example 8.3 Usha | swims in | pool
Example Usha | swims in | pool
Example Usha | swims in | 90 m long pool
She | covers | 180 m
= 0 m Total distance | covered speed at_time | Total time
= 0 m Total distance | covered | Average speed
= m Total distance | covered speed at_time | time
speed = Total time | taken | 180 m
0 m Total distance | covered speed at_time | = time
speed Total time | taken | 180 m
m Total distance | covered | speed
m Total distance | covered speed at_time | time
time | taken | 180 m
speed = time | taken | 180 m =
0 m Total distance | covered speed at_time | = Total time
= 0 m Total distance | covered speed at_time | time
Average speed time | taken | 180 m
Total time | taken | 180 m =
= 0 m Total distance | covered speed at_time | = time
0 m Total distance | covered speed at_time | Total time
= Total time | taken | 180 m
distance | covered in | 1 min
Average speed = time | taken | 180 m
Total distance | covered in | 1 min
Average speed time | taken | 180 m =
= m Total distance | covered speed at_time | = Total time
Total time | taken | 180 m
= 0 m Total distance | covered speed at_time | = Total time
= 0 m Total distance | covered | speed
= m Total distance | covered | speed
Average speed Total time | taken | 180 m
speed = time | taken | 180 m
= Total time | taken | 180 m =
Average speed Total time | taken | 180 m =
time | taken | 180 m =
= time | taken | 180 m =
= m Total distance | covered speed at_time | = time
Average speed = Total time | taken | 180 m =
0 m Total distance | covered speed in | 1 min
0 m Total distance | covered | speed
Total distance | covered in | min
= m Total distance | covered speed in | 1 min
= m Total distance | covered | Average speed
distance | covered in | min
Total distance | is | 180 m. Displacement
m Total distance | covered speed at_time | = Total time
Average speed = time | taken | 180 m =
m Total distance | covered | Average speed
0 m Total distance | covered speed at_time | time
0 m Total distance | covered | Average speed
= 0 m Total distance | covered speed in | 1 min
Average speed = Total time | taken | 180 m
m Total distance | covered speed at_time | Total time
m Total distance | covered speed at_time | = time
distance | is | 180 m. Displacement
speed = Total time | taken | 180 m =
m Total distance | covered speed in | 1 min
= time | taken | 180 m
speed time | taken | 180 m =
speed Total time | taken | 180 m =
speed time | taken | 180 m
= m Total distance | covered speed at_time | Total time
velocity | remains | constant
velocity | remains | constant with time
change | is in | velocity of object
velocity | varies in | motion
velocity | However varies in | non-uniform motion
velocity | varies with | time
velocity | However varies in | motion
velocity | varies in | non-uniform motion
velocity | However varies with | time
It | has | values
It | has | different values at instants
It | has | values at different instants
It | has | different values at different instants
It | has | different values
It | has | values at instants
change | is in | velocity of object
change | is in | velocity of object
we | Can now express | change in velocity
we | Can express | change in velocity
we | Can express | change
we | Can express | change in velocity of object
we | Can now express | change in velocity of object
we | Can now express | change
change | is in | velocity of object per unit time
That | is | Solution
time t | in v is | acceleration
change | is in | velocity acceleration
a | is | =
4 m s-1 | is in | next 5 s.
acceleration | is in | cases
first case | In velocity is | u =
acceleration | is | taken
it | is | when opposite
it | is opposite to | direction of velocity
it | is | opposite
it | is | when opposite to direction
it | is | when opposite to direction of velocity
it | is opposite to | direction
SI unit | is | m s
object | travels in | straight line
object | travels in | line
its velocity | increases by | amounts
equal amounts | is in | equal intervals of time
its velocity | increases by | amounts in equal intervals of time
its velocity | increases by | equal amounts in intervals
its velocity | increases by | amounts in intervals of time
acceleration | is said | uniform
its velocity | increases by | equal amounts
its velocity | increases by | amounts in equal intervals
its velocity | increases by | equal amounts in equal intervals
its velocity | increases by | amounts in intervals
its velocity | increases by | equal amounts in equal intervals of time
acceleration | is | said
its velocity | increases by | equal amounts in intervals of time
motion | is example of | accelerated motion
motion | is | example
motion | is example of | motion
motion | is example of | uniformly accelerated motion
object | can travel with | non-uniform acceleration
its velocity | changes at | non-uniform rate
object | can travel On | hand
object | can travel On | other hand
its velocity | changes at | rate
object | can travel with | acceleration
car | travelling along | straight road
car | is said | be moving with acceleration
car | is said | be moving
unequal amounts | is in | equal intervals of time
car | travelling along | road
car | is | then said
car | moving with | non-uniform acceleration
car | is said | be moving with non-uniform acceleration
car | moving with | acceleration
car | is | said
6 m | s | =
m | s | =
acceleration | is | 0.2 m s
acceleration | is in | first case
acceleration | is | uniform
acceleration | is | non-uniform
motion | of direction is | d
______________ 8.8 • • | is In | your everyday life
your everyday life | In ______________ is | b
you | Can identify | one example
Example | Starting from | stationary position
Rahul | paddles | his bicycle
Example 8.4 | Starting from | stationary position
Example 8.4 | Starting from | position
Example | Starting from | position
bus | decreases | its speed
train | starting from | railway station
run rate | is in | each over
you | have studied in | mathematics
straight line graph | solving | equation
line graph | solving | linear equation
straight line graph | solving | linear equation
line graph | solving | equation
we | describe | motion
we | can use | line graphs
we | describe | motion of object
line graphs | show | dependence
line graphs | show | dependence of one quantity
line graphs | show | dependence of one physical quantity
adopting | scale of | choice
position | is with | time
adopting | convenient scale of | choice
TIME GRAPHS change | be | can represented
TIME GRAPHS change | be | can represented on graph
TIME GRAPHS change | is in | position of object with time
TIME GRAPHS change | be | can represented on distance-time graph
time | is | taken
time | is | taken
time | is taken along | x
time | is taken | taken along y-axis
time | is taken | taken
time | is taken along | y-axis
Distance-time graphs | can | can employed
objects | move with | uniform speed
objects | move with | speed
graphs | can | can employed
distance travelled | is directly proportional to | time taken
distance travelled | is proportional to | time taken
distance travelled | is | proportional
distance travelled | is directly proportional to | time
distance travelled | is | directly proportional
distance travelled | is proportional to | time
graph travelled | shown in | Fig. 8.3
graph | Thus travelled for | speed
graph | Thus travelled against | time
graph | travelled against | time
graph | Thus travelled for | uniform speed
graph | travelled for | speed
graph travelled | is | straight line
graph | travelled for | uniform speed
graph travelled | is | line
distance | increasing at | uniform rate
distance | increasing at | rate
you | use term velocity in place of | uniform speed
you | take | magnitude of displacement
you | also use term velocity in place of | uniform speed
you | also use | term uniform velocity
you | use | term velocity
you | also use | term velocity
you | also use term velocity in place of | speed
you | use term velocity in place of | speed
you | take | magnitude
you | use | term uniform velocity
you | magnitude of | displacement
We | can use | graph
We | determine | speed
We | determine | speed of object
We | can use | distance-time graph
line | parallel from | point A
line | parallel to | x-axis
BC | corresponds to | distance
AC | denotes | time
AC | Now denotes | time
AC | Now denotes time on | graph
AC | denotes time on | graph
it | covers | distance in time
it | covers | distance
object | moves from | point
We | can see from | graph
distance | is in | time
speed | can | therefore can represented
speed | can | can represented
speed | v of | object
Table | shows | distance travelled in time
Table 8.2 | shows | distance
Table 8.2 | shows | distance travelled in time
Table 8.2 | shows | distance travelled by car in time interval
Table 8.2 | shows | distance travelled
Table | shows | distance travelled in time interval of two seconds
Table | shows | distance travelled by car in time interval
Table | shows | distance travelled in time interval
Table 8.2 | shows | distance travelled in time interval
Table | shows | distance travelled by car in time
Table | shows | distance travelled
Table | shows | distance travelled by car
Table 8.2 | shows | distance travelled by car in time
Table | shows | distance
Table | shows | distance travelled by car in time interval of two seconds
Table 8.2 | shows | distance travelled by car in time interval of two seconds
Table 8.2 | shows | distance travelled in time interval of two seconds
Table 8.2 | shows | distance travelled by car
104 Time | is in | seconds Distance
Distance | is in | metres 8 16 8.4
shape | is different from | distance-time graph for uniform motion
shape | is different from | earlier distance-time graph
shape | is different from | earlier distance-time graph for uniform motion
shape | is different from | distance-time graph
shape | is different from | earlier graph for uniform motion
shape | is different from | graph
shape | is different from | Fig. 8.3
shape | is | different
shape | is different from | graph for uniform motion
shape | is different from | earlier graph for motion
shape | is different from | distance-time graph for motion
shape | is different from | graph for motion
shape | is different from | earlier graph
uniform motion | for graph is | Fig. 8.3
shape | is different from | earlier distance-time graph for motion
nature | shows | variation of distance travelled by car with time
nature | shows | nonlinear variation of distance travelled with time
nature | shows | nonlinear variation of distance travelled
nature | shows | nonlinear variation of distance travelled by car
nature | shows | variation of distance travelled with time
nature | shows | variation of distance travelled
nature | shows | nonlinear variation of distance travelled by car with time
nature | shows | nonlinear variation
nature | shows | variation of distance
nature | shows | variation
nature | shows | nonlinear variation of distance
nature | shows | variation of distance travelled by car
graph | shown in | Fig 8.4
motion | is with | non-uniform speed
variation | can | can represented by velocity-time graph
variation | can | can represented by graph
variation | is in | velocity
variation | is with | time for object moving in straight line
variation | can | can represented
represented | is | represented
time | is | represented
represented | is represented along | y-axis
time | is represented along | x-axis
object | moves at | uniform velocity
object | moves at | velocity
It | will | will line
It | will | will straight line parallel to x-axis
It | will | will line parallel
It | will | will straight line
It | will | will straight line parallel
It | be | straight
It | will | will line parallel to x-axis
Fig. | shows | velocity-time graph
Fig. | shows graph for | car moving
